site_name,api_site_names,agency_name,cluster,target_mt,remediated_mt,deadline_date,status,reclamation_status,start_date,soil_disposed_mt,rdf_disposed_mt,cnd_disposed_mt,inert_disposed_mt,land_total_acres,land_reclaimed_acres,login_id,login_pwd
Cardbox_Tirupathi,Tirupathi,Card Box Company,Tirupathi,"75,504","8,844.15",2026-09-30,active,in progress,2025-07-24,0,0,0,0,11,0,ph_tpt1,tpt@7879
Ananthapur,Ananthapur,Tharuni Associates,Ananthapur,210196,32425,2026-09-30,active,in progress,2025-03-30,269.92,22.14,0,62.29,35,3,ph_atp1,atp@7879
Narsaraopet,Phase4,Tharuni Associates,Phase4,92090,92090,2026-09-30,active,in progress,2025-03-30,35178.38,6446.3,1841.8,5064.95,26.611,9.115,,
Ponnuru,Phase4,Tharuni Associates,Phase4,8211.5,2741,2026-09-30,active,in progress,2025-03-30,1047.062,109.64,54.82,150.755,23.55,8.82,,
Tharuni_Kadiri,Phase4,Tharuni Associates,Phase4,11679.27,11014,2026-09-30,active,in progress,2025-03-30,4207.348,440.56,220.28,605.77,72.567,30.334,,
Hindupur,Phase4,Tharuni Associates,Phase4,72120.84,52185,2026-09-30,active,in progress,2025-03-30,19934.67,2087.4,1043.7,2870.175,80.367,37.363,,
Tharuni_Kurnool,Phase4,Tharuni Associates,Phase4,68075.5,68079,2026-09-30,active,in progress,2025-03-30,26006.178,5446.32,1361.58,3744.345,73.404,20.49,,
Kadapa,Phase4,Tharuni Associates,Phase4,291916.61,291916,2026-09-30,active,in progress,2025-03-30,111511.912,11676.64,5838.32,16055.38,34.388,16.276,,
Tharuni_Kadiri2,Phase4,Tharuni Associates,Phase4,100666,67800,2026-09-30,active,in progress,2025-03-30,25899.6,2712,1356,3729,73.905,17.211,,
Tharuni_Adoni,Phase4,Tharuni Associates,Phase4,59452,48789,2026-09-30,active,in progress,2025-03-30,10543.2,1104,552,1518,54.619,21.379,,
Tharuni_Yemmiganur,Phase4,Tharuni Associates,Phase4,26758,2900,2026-09-30,active,in progress,2025-03-30,962.258,100.76,50.38,138.545,42.923,9.123,,
Proddatur,Phase4,Tharuni Associates,Phase4,113914,76800,2026-09-30,active,in progress,2025-03-30,29337.6,3072,1536,4224,10.317,2.307,,
Tharuni_Proddatur,Phase4,Tharuni Associates,Phase4,27916,28146,2026-09-30,active,in progress,2025-03-30,10751.772,1125.84,562.92,1548.03,43.948,15.509,,
Narsipatnam,Phase4,Tharuni Associates,Phase4,9226,9226,2026-09-30,active,in progress,2025-03-30,3524.332,369.04,184.52,507.43,42.658,16.028,,
Srikakulam,Phase4,Tharuni Associates,Phase4,151016,130149,2026-09-30,active,in progress,2025-03-30,49716.918,5205.96,2602.98,7158.195,22.262,10.248,,
Palasa-Kasibugga,Phase4,Tharuni Associates,Phase4,1175,0,2026-09-30,active,in progress,2025-03-30,0,0,0,0,29.295,7.609,,
Bapatla,Phase4,Tharuni Associates,Phase4,123224,73170,2026-09-30,active,in progress,2025-03-30,27950.94,2926.8,1463.4,4024.35,18.419,7.598,,
Guntur,Phase4,Tharuni Associates,Phase4,103843,95120,2026-09-30,active,in progress,2025-03-30,36335.84,3804.8,1902.4,5231.6,62.807,20.044,,
Vizianagaram,Phase4,Tharuni Associates,Phase4,117480,77850,2026-09-30,active,in progress,2025-03-30,29738.7,7006.5,1557,4281.75,72.64,29.14,,
Rajahmundry,Phase4,Tharuni Associates,Phase4,238244,175189,2026-09-30,active,in progress,2025-03-30,66922.198,15767.01,3503.78,9635.395,40.159,12.373,,
Kakinada,Phase4,Tharuni Associates,Phase4,224377,110510,2026-09-30,active,in progress,2025-03-30,42214.82,9945.9,2210.2,6078.05,59.284,25.367,,
Tharuni Ongole,Phase4,Tharuni Associates,Phase4,56213,16125,2026-09-30,active,in progress,2025-03-30,6159.75,1451.25,322.5,886.875,,,,
Tharuni Markapuram,Phase4,Tharuni Associates,Phase4,9107,8828,2026-09-30,active,in progress,2025-03-30,3372.296,794.52,176.56,485.54,,,,
Kurnool,Phase4,Saurashtra Enviro,Phase4,368318.4,322956,2026-09-30,active,in progress,2025-03-30,123369.192,29066.04,6459.12,17762.58,23.375,9.077,,
Tenali,Phase4,Sudhakara Infra,Phase4,39569,39569,2026-09-30,active,in progress,2025-03-30,15115.358,4748.28,791.38,2176.295,54.921,13.08,,
Tadepalligudem,Phase4,Iway Associates,Phase4,88064,88065,2026-09-30,active,in progress,2025-03-30,33640.83,3522.6,1761.3,4843.575,79.868,17.563,,
Nidadavole,Phase4,Iway Associates,Phase4,29358,29357,2026-09-30,active,in progress,2025-03-30,11162.04,1168.8,584.4,1607.1,78.182,42.261,,
Mandapet,Phase4,Iway Associates,Phase4,11497,11197,2026-09-30,active,in progress,2025-03-30,4277.254,447.88,223.94,615.835,18.14,7.092,,
Kandukur,Phase4,Geron Engineering,Phase4,46210,4023,2026-09-30,active,in progress,2025-03-30,250.21,26.2,13.1,36.025,4.783,1.217,,
Kavali,Phase4,Geron Engineering,Phase4,11177,0,2026-09-30,active,in progress,2025-03-30,0,0,0,0,74.716,27.437,,
Nandyal,Phase4,Geron Engineering,Phase4,18126,3093,2026-09-30,active,in progress,2025-03-30,1181.526,123.72,61.86,170.115,3.787,2.031,,
