site_name,api_site_names,agency_name,cluster,target_mt,remediated_mt,deadline_date,status,reclamation_status,start_date,soil_disposed_mt,rdf_disposed_mt,cnd_disposed_mt,inert_disposed_mt,land_total_acres,land_reclaimed_acres
Narsaraopet,Phase4,Tharuni Associates,Phase4,92090,35434.8,2026-05-31,active,in progress,2025-03-30,,,,,,
Ponnuru,Phase4,Tharuni Associates,Phase4,8211.5,2240,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Kadiri,Phase4,Tharuni Associates,Phase4,11679.27,156,2026-05-31,active,in progress,2025-03-30,,,,,,
Hindupur,Phase4,Tharuni Associates,Phase4,72120.84,16262.43,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Kurnool,Phase4,Tharuni Associates,Phase4,68075.5,26562.17,2026-05-31,active,in progress,2025-03-30,,,,,,
Kadapa,Phase4,Tharuni Associates,Phase4,291916.61,60469.54,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Kadiri2,Phase4,Tharuni Associates,Phase4,100666,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Adoni,Phase4,Tharuni Associates,Phase4,59452,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Yemmiganur,Phase4,Tharuni Associates,Phase4,26758,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Proddatur,Phase4,Tharuni Associates,Phase4,113914,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Tharuni_Proddatur,Phase5,Tharuni Associates,Phase4,27916,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Narsipatnam,Phase4,Tharuni Associates,Phase4,9226,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Srikakulam,Phase4,Tharuni Associates,Phase4,151016,2016,2026-05-31,active,in progress,2025-03-30,,,,,,
Palasa-Kasibugga,Phase4,Tharuni Associates,Phase4,1175,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Bapatla,Phase4,Tharuni Associates,Phase4,123224,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Guntur,Phase4,Tharuni Associates,Phase4,27112,522,2026-05-31,active,in progress,2025-03-30,,,,,,
Vizianagaram,Phase4,Tharuni Associates,Phase4,117480,2459,2026-05-31,active,in progress,2025-03-30,,,,,,
Rajahmundry,Phase4,Tharuni Associates,Phase4,238244,1162,2026-05-31,active,in progress,2025-03-30,,,,,,
Kakinada,Phase4,Tharuni Associates,Phase4,224377,39,2026-05-31,active,in progress,2025-03-30,,,,,,
Anantapur,Phase4,Tharuni Associates,Phase4,210196,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Kurnool,Phase4,Saurashtra Enviro,Phase4,368318.4,81124,2026-05-31,active,in progress,2025-03-30,,,,,,
Tenali,Phase4,Sudhakara Infra,Phase4,39569,36720,2026-05-31,active,in progress,2025-03-30,,,,,,
Tadepalligudem,Phase4,Iway Associates,Phase4,88064,37595,2026-05-31,active,in progress,2025-03-30,,,,,,
Nidadavole,Phase4,Iway Associates,Phase4,29358,12058,2026-05-31,active,in progress,2025-03-30,,,,,,
Mandapet,Phase4,Iway Associates,Phase4,11497,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Kandukur,Phase4,Geron Engineering,Phase4,46210,656,2026-05-31,active,in progress,2025-03-30,,,,,,
Kavali,Phase4,Geron Engineering,Phase4,11177,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Nandyal,Phase4,Geron Engineering,Phase4,18126,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Dhone,Phase4,Geron Engineering,Phase4,20812.42,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Giddalur,Phase4,Geron Engineering,Phase4,19994.4,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Gudivada,Phase4,Coastaline,Phase4,38174.66,21210.7,2026-05-31,active,in progress,2025-03-30,,,,,,
Machilipatnam,Phase4,Coastaline,Phase4,5466.72,4633.49,2026-05-31,active,in progress,2025-03-30,,,,,,
Eluru,Phase4,Coastaline,Phase4,130647,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Jangareddygudem,Phase4,Coastaline,Phase4,44810,0,2026-05-31,active,in progress,2025-03-30,,,,,,
Jaggaihpet,Phase4,Coastaline,Phase4,27000,0,2026-05-31,active,in progress,2025-03-30,,,,,,
